Ticker,Date,Price
ACB,20160427,17.8
ACB,20160426,18
ACB,20160425,18
ACB,20160422,18.2
ACB,20160421,17.7
ACB,20160420,17.7
ACB,20160419,17.8
ACB,20160415,17.9
ACB,20160414,17.8
ACB,20160413,18.1
ACB,20160412,18.3
ACB,20160411,18.4
ACB,20160408,18.5
ACB,20160407,18.2
ACB,20160406,17.9
ACB,20160405,18
ACB,20160404,18.3
ACB,20160401,18.3
ACB,20160331,18.3
ACB,20160330,17.7
ACB,20160329,18.5
ACB,20160328,18.6
ACB,20160325,18.6
ACB,20160324,18.7
ACB,20160323,18.8
ACB,20160322,18.9
ACB,20160321,19
ACB,20160318,19.1
ACB,20160317,19.1
ACB,20160316,19.2
ACB,20160315,19.2
ACB,20160314,19.1
ACB,20160311,19.4
ACB,20160310,19.3
ACB,20160309,19.4
ACB,20160308,19
ACB,20160307,19.8
ACB,20160304,19.7
ACB,20160303,19.5
ACB,20160302,19.5
ACB,20160301,19.6
ACB,20160229,19.7
ACB,20160226,19.9
ACB,20160225,19.8
ACB,20160224,20
ACB,20160223,19.2
ACB,20160222,19.2
ACB,20160219,19.2
ACB,20160218,19.2
ACB,20160217,19.2
ACB,20160216,19.4
ACB,20160215,19
ACB,20160205,19.1
ACB,20160204,19
ACB,20160203,19
ACB,20160202,19
ACB,20160201,18.9
ACB,20160129,19
ACB,20160128,19
ACB,20160127,19
ACB,20160126,19
ACB,20160125,19.1
ACB,20160122,18.6
ACB,20160121,18.9
ACB,20160120,18.9
ACB,20160119,18.9
ACB,20160118,18.6
ACB,20160115,19.1
ACB,20160114,19
ACB,20160113,19
ACB,20160112,19
ACB,20160111,19
ACB,20160108,19.1
ACB,20160107,19.1
ACB,20160106,19.5
ACB,20160105,19.4
ACB,20160104,19.7
ACB,20151231,19.8
ACB,20151230,19.5
ACB,20151229,19.4
ACB,20151228,19.3
ACB,20151225,19.2
ACB,20151224,19.2
ACB,20151223,19.2
ACB,20151222,19.3
ACB,20151221,19.4
ACB,20151218,19.2
ACB,20151217,19.5
ACB,20151216,19.3
ACB,20151215,19.3
